id,hard_skills,soft_skills,competences_recommandees
1127,anglais,organisation rigueur gestion des priorités communication,compétences techniques  expertise dans ladministration des céduleurs controlm mainframe et robot as400 connaissance des environnements mainframe zos et as400 ibm i maîtrise des scripts dautomatisation et de gestion batch jcl clp etc connaissance des concepts itil gestion des incidents des changements etc compétences générales  capacité à analyser et résoudre des problèmes complexes sous pression organisation et rigueur dans la gestion des priorités communication écrite et orale en anglais pour collaborer dans un contexte international maîtrise de langlais écrit et oral capacité à évoluer dans un environnement technique et opérationnel exigeant
1128,cloud qualité anglais,collaboration organisation écoute relationnel communication,collaboration avec dautres équipes du département et du groupe en particulier les sujets des politiques de traitement des données dans les différents environnements data cloud onprem cloud distribué etc expérience en tant que lead data governance product owner data data scientist data engineer etc organisation interne de data governance office de modélisation des données de définition de la roadmap de mise en uvre écoute des métiers collaboration avec des équipes diversifiées et internationales pragmatisme avec une vision basée sur les risques vous avez une connaissance de règlementation une expérience en développement et mise en uvre de politiques de données agile compétences dorganisation vous savez travailler dans des environnements en forte évolution impliquant plusieurs équipes vous faites preuve dune capacité à définir des process longterme permettant daccompagner la transformation data de lentreprise bon relationnel et capacités de communication à la fois avec des profils fonctionnels et techniques votre anglais courant vous permet de travailler dans un environnement multiculturel
1129,français anglais,Non spécifié,Non spécifié
1130,logistique français anglais,communication,compétences en communication écrite et orale en français et anglais
1131,sage laboratoire,rigueur organisation négociation,expérience en conduite de travaux et de suivi des projets btp maîtrise des travaux daménagements vrd travaux de traitement paysager travaux déquipements structurants concepts de management environnementale et sst gestion de projet contrôles topographiques dimplantation des ouvrages et de suivi des travaux de réalisation rigueur organisation et méthode  disponibilité  réactivité  sens de négociation  capacité dencadrement
1132,python java robot framework jenkins less qualité,qualités relationnelles,python java selenium robot framework jenkins jira
1133,java anglais,organisation synthèse,java maîtriser les langages de programmation  technologies de son périmètre savoir être collaborer avoir le sens de lorganisation gérer les priorités savoir faire être en permanence dans laction délivrer capacité à appréhender des sujets métier complexes établir des synthèses maîtriser la langue de son activité maîtriser langlais
1134,sage virtualisation qualité supervision,responsabilité,connaissances connaissance larges en solutions dinfrastructure notamment sur les data centres
1135,gestion budgétaire français arabe anglais qualité,leadership négociation flexibilité responsabilité,compétences requises incluent  expertise avérée en gestion stratégique et gouvernance de projets à fort impact social compétences en gestion budgétaire et en mobilisation de ressources capacité à évoluer dans des environnements institutionnels et à gérer des relations complexes avec des parties prenantes diverses maîtrise du français et de larabe  langlais est fortement souhaité leadership jira
1136,audit contrôle de gestion audit contrôle de gestion gestion des risques crm,synthèse leadership communication rigueur organisation,connaissances solides des référentiels de contrôle interne et de gestion des risques certifications type cia crma ou équivalent appréciées compétences attendues   excellence analytique et capacité de synthèse  leadership et sens de la communication  rigueur méthodologique et organisation  capacité à travailler en mode projet et en transverse  maîtrise des outils de contrôle interne et de gestion des risques
1137,audit less crm oracle qualité français anglais,autonomie synthèse relationnel,expertise dans le domaine si telco analyser les modules bss et oss identifier leurs faiblesses et leur proposer des solutions  gestion des projets de transformation des si telco suivi budgétaire planning conduite de changement  piloter la phase de recueil des besoins rédaction des cahiers des charges et des rfps  evaluer les réponses aux appels doffres et négocier le contrat avec les éditeurs et les intégrateurs de solutions it  animer des workshops et coordonner les différents acteurs métier dsi partenaire  tenir compte des considérations green itn dans les projets connaissance des guidelines durbanisation si couplage bssoss standardisation des échanges apis vous avez une bonne connaissance des solutions bssoss comarch bscs msdynamic zsmart oracle peoplesoft salesforce provisionning résoudre les problématiques des si legacy et souhaitez intégrer une équipe de consultants multiexperts qui contribuent à la définition de la stratégie it de ses clients  votre autonomie vos capacités danalyse et de synthèse et vos qualités rédactionnelles et relationnelles seront pour vous de véritables atouts  lenvironnement international dans lequel évolue sofrecom implique la parfaite maitrise du français de langlais tant à lécrit quà loral
1138,conformité français anglais sage,communication initiative,communication en français langlais est un plus connaissance de linformatique du matériel informatique et des environnements serveurs et réseaux connaissances itil ainsi que des connaissances en manipulation des données seront appréciés
1139,crm,Non spécifié,experience in customer relations or customer experience role within consumeroriented service industry preferably in aviation expertise and essential soft skills
1140,sage power bi,communication écoute synthèse,compétences techniques  sage x3   crystal report   power bi  compétences comportementales  disponibilité et réactivité   communication et écoute active   esprit danalyse et de synthèse
1141,sem proxy word access anglais coordination,écoute communication proactivité,résoudre une panne hardsoftréseaux maîtrise de loutil informatique  word excel access connaissance de lenvironnement informatique hardsoft et réseaux écoute et de la communication esprit danalyse et de proactivité
1142,sem reporting tableau conformité gestion des ressources humaines word powerpoint français anglais,écoute communication synthèse,résoudre les problèmes pouvant survenir etre à lécoute et au service permanents de lensemble des employés maîtrise de loutil informatique  word excel et powerpoint connaissance de la législation marocaine du travail connaissance de lenvironnement paie maîtrise de la langue française est obligatoire langlais est souhaitable écoute et de communication analyse de synthèse et de capacité rédactionnelle
1143,sem assurance word access notion,communication organisation relationnel,communication efficace des différents types dinformations circulant au sein de lentreprise en choisissant le moyen de communication approprié notes de service trajectoire adhérer à la culture dentreprise et veiller à lamélioration continue à tous les niveaux analyse hebdomadaire de labsentéisme et alerter les projets qui sont hors objectifs maîtrise de loutil informatique  word excel access connaissance des autorités en vigueur  inspection du travail service at à la wilaya organisation caractère sociable bonne communication excellent relationnel avec les employés
1144,tableau,négociation,compétences suivantes  techniques de merchandising de négociation et danimation déquipe capacité détablir des propositions pour améliorer des résultats lecture de tableau de bord et dindicateurs de suivi
1145,coordination sem archivage word access notion français anglais,organisation communication relationnel,organisation fonctionnelle organigrammes référentiel des emplois et des compétences descriptions de poste adhérer à la stratégie de recrutement de lentreprise communication marketing  minimum 3 ans dexpérience dans un poste similaire de préférence dans le secteur de la relation client maîtrise des outils informatiques  word excel access organisation caractère sociable bonne communication excellent relationnel avec les employés et les autres départements  une parfaite maitrise de la langue française et anglaise
1146,tableau,négociation,compétences suivantes  techniques de merchandising de négociation et danimation déquipe capacité détablir des propositions pour améliorer des résultats lecture de tableau de bord et dindicateurs de suivi
1147,planification,leadership organisation relationnel communication proactivité autonomie initiative,compétences suivantes sont essentielles pour réussir dans ce rôle  leadership et capacité de management déquipe compétences organisationnelles et de planification maîtrise des outils et logiciels rh communication capacité à travailler en équipe et à collaborer efficacement proactivité autonomie et esprit dinitiative
1148,Non spécifié,Non spécifié,maîtrisez loutil informatique
1149,reporting,autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  capacité à élaborer un plan de développement commercial et une offre produits capacité à analyser les tendances et évaluer le potentiel de développement de loffre produit capacité à évaluer loffre et le positionnement dun produit capacité à proposer des modifications ou aménagements pour améliorer lassortiment afin doptimiser sa rentabilité capacité à effectuer des comptes rendu capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1150,contrôle de gestion sem reporting tableau tableau comptabilité contrôle de gestion qualité,responsabilité fiabilité collaboration rigueur organisation esprit critique proactivité intégrité,forcement des procédures de contrôle interne  aider à renforcer lensemble des procédures de contrôle interne afin de minimiser les risques financiers et opérationnels collaboration avec les différentes parties prenantes de lentreprise compétences requises  formation supérieure en finance comptabilité ou contrôle de gestion bac 5 maîtrise des outils de gestion financière et des logiciels de bureautique excel erp etc compétences analytiques solides et capacité à interpréter les données financières rigueur organisation et respect des délais capacité à résoudre des problèmes proactivité et force de proposition capacité à travailler sous pression et à gérer les priorités
1151,gestion des stocks reporting,négociation leadership relationnel communication gestion du stress responsabilité,compétences suivantes  capacité à organiser la gestion des stocks de produit capacité à effectuer des comptes rendu capacité à conduire des négociations capacité à piloter la performancereporting de lactivité dans son périmètre et suivre les indicateurs leadership orientation résultats force de proposition impact et persuasion sens relationnel  de la communication et selfcontrolgestion du stress et des conflits sont les atouts et facteurs clés de succès de ce poste
1152,français anglais comptabilité,communication organisation négociation flexibilité,communication interne rapport compte rendu note organisation du séjour des personnes en provenance des autres sites ou des clients de cnexia organisation dévènements internes et externes formations réunions cérémonies fêtes du personnel communication française ou anglaise connaissances en comptabilité générale connaissances en événementiel communication à différents interlocuteurs collègues hiérarchiques autres services
1153,Non spécifié,responsabilité,compétences suivantes   capacité à définir le taux de réalisation du ca  capacité à définir la marge nette  calcul du taux de démarque  capacité de gérer le niveau de stock mobilité nationale  labelvie sengage à prévenir toute forme de discrimination et notamment celles fondées sur le sexe ou la situation et les responsabilités familiales
1154,banque,flexibilité relationnel,Non spécifié
1155,tableau,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de merchandising de négociation et danimation déquipe capacité détablir des propositions pour améliorer des résultats lecture de tableau de bord et dindicateurs de suivi autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1156,gestion des stocks,communication organisation leadership,maîtrise de la sécurité et lhygiène au travail selon la législation en vigueur communication et de lorganisation leadership
1157,tableau,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de merchandising de négociation et danimation déquipe autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1158,reporting,autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  capacité à élaborer un plan de développement commercial et une offre produits capacité à analyser les tendances et évaluer le potentiel de développement de loffre produit capacité à évaluer loffre et le positionnement dun produit capacité à proposer des modifications ou aménagements pour améliorer lassortiment afin doptimiser sa rentabilité capacité à effectuer des comptes rendu capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1159,comptabilité comptabilité,volonté responsabilité,expérience en comptabilité stage alternance ou premier emploi est un plus mais pas toujours indispensable si le candidat montre une forte motivation et des compétences de base solides
1160,Non spécifié,leadership,compétences en gestion en leadership ainsi quune excellente connaissance du secteur de la restauration
1161,tableau,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de merchandising de négociation et danimation déquipe capacité détablir des propositions pour améliorer des résultats lecture de tableau de bord et dindicateurs de suivi autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1162,reporting,autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  capacité à élaborer un plan de développement commercial et une offre produits capacité à analyser les tendances et évaluer le potentiel de développement de loffre produit capacité à évaluer loffre et le positionnement dun produit capacité à proposer des modifications ou aménagements pour améliorer lassortiment afin doptimiser sa rentabilité capacité à effectuer des comptes rendu capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1163,audit,synthèse rigueur relationnel,expérience en audit interne dans une grande entreprise ou en cabinet daudit  capable de travailler de manière indépendante synthèse et une grande aisance rédactionnelle sont nécessaires une bonne hauteur de vue de la rigueur de la capacité dadaptation et dun bon sens relationnel
1164,tableau,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de merchandising de négociation et danimation déquipe capacité détablir des propositions pour améliorer des résultats lecture de tableau de bord et dindicateurs de suivi autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1165,Non spécifié,leadership leadership communication communication,skills and qualifications  background strong understanding of heavy industry chemical process and construction relevant education and experience bachelors or masters degree in industrial engineering or a related field along with minimum 7 years of experience in project management expertise strong understanding of project management principles processes and industry standards skills proven ability to manage complex projects including planning scheduling budgeting and risk management leadership skills effective leadership and team management skills to motivate and inspire project teams communication skills excellent written and verbal communication skills to interact with diverse stakeholders problemsolving skills ability to identify and resolve issues in a timely and effective manner
1166,gestion des stocks reporting,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de négociation et danimation déquipe capacité à organiser la gestion des stocks de produit capacité à piloter la performancereporting de lactivité dans son périmètre et suivre les indicateurs autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1167,gestion des stocks reporting,négociation autonomie relationnel capacité danalyse synthèse responsabilité,compétences suivantes  techniques de négociation et danimation déquipe capacité à organiser la gestion des stocks de produit capacité à piloter la performancereporting de lactivité dans son périmètre et suivre les indicateurs autonomie  réactivité sens du service et du relationnel capacité danalyse et synthèse sont les atouts et facteurs clés de succès de ce poste
1168,espagnol anglais qualité,rigueur écoute autonomie organisation,culture gestion des entreprises agricoles  niveau dexpérience  2 à 3 ans les stages sont acceptés compétences requises   solides connaissances en agriculture  bonnes connaissances en produits de traitement et les fertilisants rigueur votre ponctualité   avoir lesprit déquipe et découte   pouvoir communiquer simplement autonomie organisation
1169,oracle python,Non spécifié,expérience entre 1 à 3 ans en tant que data engineer domaines de compétences indispensable  sql avancé étude des demandes métier conception de pipeline de traitement de la donnée modélisation conceptuelle et physique recette gestion de projet souhaité  oracle teradata hive shell python
1170,Non spécifié,volonté,Non spécifié
1171,qualité conformité français,responsabilité esprit déquipe,analyser les demandes et traite les différents actes qui en découlent analyser les risques et contrôle la conformité des dossiers et en informer les services concernés détecter les fraudes et transmettre le dossier au correspondant fraude rechercher les solutions dindemnisation négocier selon la solution mise en oeuvre le montant de lindemnisation et proposer des offres de services associées dans lobjectif dune meilleure maîtrise des coûts techniques renseigner orienter et répondre aux sollicitations des clientsagents générauxprestataires par courrier téléphone fax alerter sa hiérarchie sur les dossiers délicats procéder au règlement du sinistre dans la limite du pouvoir de règlement et clôture ou transfère le dossier peutêtre amené à analyser la situation contractuelle des clients comptetenu de leur niveau de couverture peut être amené à commercialiser selon les opportunités des services répondant à leurs besoins maîtrisez parfaitement la langue française à lécrit et à loral
1172,qualité conformité français,responsabilité esprit déquipe,analyser les demandes et traite les différents actes qui en découlent analyser les risques et contrôle la conformité des dossiers et en informer les services concernés détecter les fraudes et transmettre le dossier au correspondant fraude rechercher les solutions dindemnisation négocier selon la solution mise en oeuvre le montant de lindemnisation et proposer des offres de services associées dans lobjectif dune meilleure maîtrise des coûts techniques renseigner orienter et répondre aux sollicitations des clientsagents générauxprestataires par courrier téléphone fax alerter sa hiérarchie sur les dossiers délicats procéder au règlement du sinistre dans la limite du pouvoir de règlement et clôture ou transfère le dossier peutêtre amené à analyser la situation contractuelle des clients comptetenu de leur niveau de couverture peut être amené à commercialiser selon les opportunités des services répondant à leurs besoins maîtrisez parfaitement la langue française à lécrit et à loral
1173,qualité assurance assurance français sem transport banque,écoute,maîtrisez parfaitement la langue française à loral et à lécrit maîtrisez les techniques de vente par téléphone ainsi que les logiciels de bureautique avez la fibre commerciale êtes combatif et vous aimez les défis et challenges avez une excellente faculté découte et de persuasion
1174,qualité crm,communication négociation,compétences et qualités personnelles requises  excellentes compétences en communication et en négociation capacité à travailler de manière autonome et en équipe maîtrise des outils informatiques et crm
1175,laboratoire sem biochimie analyse de données word optimisation des processus,communication,analyse et recherche de lum6p   veiller au respect de la réglementation marocaine des normes de sécurité de gestion des déchets dans les laboratoires um6p analyse des risques liée à la gestion des déchets dans les laboratoires compétences requises   bonnes connaissances en chimie biochimie et biologie connaissance des techniques dévaluation environnementale capacité à analyser des données et à rédiger des rapports précis capacité à gérer plusieurs tâches et à respecter les délais compétences en communication écrite et orale capacité à préparer et à animer des sessions de sensibilisation capacité à travailler en équipe compétences en analyse de données et maîtrise des outils informatiques excel word ppt expérience en hse serait un atout
1176,logistique approvisionnement logistique laboratoire planification transport qualité sem coordination,collaboration écoute communication rigueur,collaboration avec le responsable compétences métiers  techniques formation supérieure bac  5 scientifique ou technique maîtrise opérationnelle des techniques dapprovisionnement et achats connaissance des procédures budgétaires et système dinformation connaissance des procédures de gestion de matériel compétences managériales capacité découte et danalyse capacité à coopérer avec des équipes multidisciplinaires communication compétences comportementales honnêteté rigueur
1177,sem anglais français,communication organisation écoute relationnel autonomie créativité organisation,communication et de promotion de loffre académique supports de communication imprimés et digitaux spécifiques au continent webinaires etc organisation et tenue de webinaires ou jpo en ligne pour les étudiants subsahariens intéressés organisation dévénements dans les pays cibles pour rencontrer les candidats intéressés et les accompagner dans leur orientation communication pour approcher ces marchés avec les canaux les plus appropriés connaissance de lenseignement secondaire et supérieur compétences  capacités  excellentes capacités relationnelles dynamisme et grande disponibilité autonomie et créativité sens de lorganisation maitrise des réseaux sociaux et des techniques de communication maitrise des langues anglaise et française
1178,sem archivage coordination français anglais qualité,organisation autonomie relationnel rigueur écoute,organisation des diverses manifestations institutionnelles de la direction le candidat ou la candidate sera également appelé e à contribuer sur des sujets transverses de luniversité en cette phase de croissance maîtriser lutilisation de logiciels informatiques et bureautiques avoir le sens de lorganisation et du classement anticiper lorganisation des projets tout en recherchant lefficacité maitriser le français et langlais à loral et à lécrit savoirfaire comportemental  travail en autonomie capacité dintégration dans un travail déquipe qualité relationnelle développée obligatoire réactif polyvalent et capacité dadaptation type de contrat  cdi date de début  poste à pouvoir immédiatement dossier de candidature  les personnes intéressées à soumettre leur candidature sont priées de faire parvenir  un cv une lettre maximum 1 page expliquant leur motivation à occuper ce poste et à travailler à benguérir organisation de dossiers avoir une aisance en langue française et anglaise aussi bien à lécrit quà loral rigueur sens du relationnel et capacité découte
1179,bases de données logistique sem transport archivage français anglais,organisation organisation relationnel rigueur autonomie créativité,organisation des déplacement professionnels  préparation des ordres de missions réservation des moyens de transport et dhôtel préparation et organisation des événements internes et réunions compétences  capacités  aisance à travailler en équipe pluridisciplinaire  excellent relationnel confidentialité rigueur et sens du détail autonomie créativité et aptitude à être force de proposition esprit déquipe maîtrise du français et de langlais écrit et oral aisance à utiliser les softwares et outils digitaux de gestion
1180,planification sem planification kpi gestion budgétaire coordination trello asana qualité,initiative vision stratégique responsabilité communication collaboration communication organisation gestion du temps autonomie esprit déquipe ouverture desprit flexibilité,communication efficace avec toutes les équipes impliquées proposer des ajustements si nécessaire collaboration entre les différentes équipes académiques administratives techniques pour garantir une synergie optimale communication  rédiger des rapports de progression pour la direction incluant des recommandations et des plans daction présenter les résultats des projets lors de réunions avec les parties prenantes expérience en gestion de projet de préférence dans le secteur de léducation ou un environnement académique compétences  excellentes compétences en organisation et en gestion du temps capacité à travailler sous pression et à respecter des délais serrés compétences analytiques solides et capacité à résoudre des problèmes compétences en communication écrite et verbale maîtrise des outils de gestion de projet microsoft project trello asana etc capacité à travailler en équipe et à favoriser un bon esprit déquipe
1181,Non spécifié,travail en équipe gestion des conflits initiative rigueur organisation,analyse de risques catalogue produitsservices et tarification réglementation bancaire locale opérations maroc et etranger assistance commerciale principales qualites  dynamisme sens commercial ecoute dialogue capacité de conviction travail en équipe gestion des conflits souci de la rentabilité esprit dinitiative rigueur organisation
1182,logistique français anglais,organisation gestion du temps communication,maîtrise des procédures et réglementations dimportexport compétences organisationnelles et de gestion du temps capacité à travailler sous pression et à gérer plusieurs tâches simultanément compétences en communication tant à loral quà lécrit maîtrise du français et de langlais  la connaissance dautres langues est un atout maîtrise des outils informatiques et logiciels de gestion logistique
1183,bases de données sem archivage word anglais,écoute patience organisation communication relationnel,compétences requises  formation initiale  bac 2 minimum en secrétariat gestion des entreprises ou équivalent expérience professionnelle  un minimum de 2ans dexpérience est souhaitable compétences personnelles  avoir un sens de lécoute patience organisation et de confidentialité faire preuve dengagement respect des délais et sens des priorités habilité à planifier et organiser ses tâches en périodes de charge avoir un sens de communication relationnel et sens du contact capacité à travailler en équipe disponibilité et réactivité poste basé à bengeurir
1184,Non spécifié,Non spécifié,compétences   connaissance de lentreprise et de son secteur dactivité  aptitudes en gestion administrative  connaissance des process dachats  maîtrise des outils bureautiques maîtrise des logiciels dachats
1185,assurance arabe français sem,aisance relationnelle écoute initiative,connaissances en techniques en assurances  aisance relationnelle et sens du contact développé  capacité dadaptation et découte  esprit déquipe et dinitiative  bonne élocution en arabe et en français
1186,qualité,relationnel communication organisation gestion du temps autonomie,expérience en tant que commercial idéalement dans le secteur des produits de beauté ou de la cosmétique compétences techniques et qualités personnelles requises  compétences relationnelles excellentes aptitudes à la communication et au service client capacité à atteindre des objectifs ambitieux et à développer des relations commerciales organisation  bonne gestion du temps et autonomie dans le travail
1187,bases de données qualité reporting,négociation innovation,Non spécifié
1188,Non spécifié,flexibilité rigueur aisance relationnelle,connaissance de la région respectueux autonome et très réactif présentable assiduité et flexibilité disponibilité et rigueur confidentialité aisance relationnelle
1189,Non spécifié,Non spécifié,connaissance des techniques de vente dautomobile serait un plus une expérience dau moins 3 ans dans le commercial
1190,qualité reporting archivage,communication,communication reportings auprès de la hiérarchie  o mise en place dactions liées à la satisfaction des clients internesexternes et suivi à travers des indicateurs de performance   atteinte des objectifs fixes o créer les ordres de réparations pour les dossiers de garantie validés techniquement et administrativement maîtrise de la garantie automobile  connaissance du marché de lautomobile et pièces de rechange automobile
1191,Non spécifié,communication résolution de problèmes gestion du changement,compétences en communication en résolution de problèmes et en gestion du changement
1192,Non spécifié,Non spécifié,expérience en cabinet de conseil ou de formation serait un plus
1193,python java jenkins robot framework less qualité,qualités relationnelles,expérience en tant que test analyste python java jenkins jira maîtrisez les outils dautomatisation des tests  robot framework selenium vous faites preuve de souplesse de bonnes capacités dadaptation pour répondre aux demandes des clients dans le respect des normes de développement
1194,Non spécifié,gestion du temps flexibilité adaptabilité organisation communication,soft skills organisation communication
1195,notion sem anglais,Non spécifié,compétences techniques à savoir la maintenance et entretien de bâtiments connaissances en matière de sécurité et de réglementation sur lenvironnement maîtriser létablissement et le suivi de budget maîtrise de langlais en raison de linternationalisation des marchés
1196,assurance qualité qualité,Non spécifié,capacité à évaluer le niveau de qualité du code à maintenir capacité à développer des tests unitaires capacité à évaluer sa charge de travail connaissances techniques
1197,azure cloud python terraform,Non spécifié,expertise in azure environment is essential expertise in managing cloud infrastructure networking security and other relevant services expertise in using cloud management tools scripting languages e python terraform expertise around security topics and dlp is appreciated but not mandatory
1198,Non spécifié,leadership aisance relationnelle communication,compétences en gestion déquipe et en leadership   vous êtes dynamique et rigoureux   vous êtes doté dune aisance relationnelle et dexcellentes capacités de communication à lécris et à lorale
1199,coordination,Non spécifié,expertise on dlp products  expertise of microsoft environment is mandatory expertise on microsoft endpoint dlp mip is highly recommended expertise on symantec dlp products is a plus but not mandatory expertise with security assessment methodologies such as risk assessment vulnerability assessment and threat modeling expertise of data protection and privacy regulations such as gdpr
1200,Non spécifié,Non spécifié,expérience en tant que stagiaire pour des projets qse
1201,Non spécifié,autonomie flexibilité,autonomie besoin de réflexion flexibilité ambition distance émotionnelle extraversion
1202,gestion des ressources humaines,relationnel,Non spécifié
1203,Non spécifié,communication,communications communication capacité à convaincre
1204,français,relationnel écoute,écoute  vous souhaitez faire carrière dans le métier des centres dappels ce poste est fait pour vous  approche client et forte capacité à convaincre
1205,français,relationnel écoute,Non spécifié
1206,français,communication,communication excellente en français
1207,Non spécifié,intégrité rigueur curiosité créativité écoute relationnel négociation,soft skills rigueur objectivité et respect des règles avoir la culture de la performance et du défi faire preuve de curiosité et de créativité etre à lécoute du marché et des nouveautés compétences relationnelles et capacités découte capacités de négociation
1208,aws,Non spécifié,safety related major experience in hazardous materials occupational disease protection equipment safety etc skills 1 safety 3
1209,bases de données sage java typescript angular php react mysql postgresql mongodb,travail en équipe,connaissance des bases de données et du design patterns serait fortement apprécié compétences suivantes  maîtrise de javascript  typescript angular framework et php symfony framework expérience avec les frameworks javascript react angular vue connaissance des bases de données mysql postgresql mongodb compétences en développement orienté objet bonnes connaissances des méthodes agiles capacité à travailler en équipe et à communiquer efficacement de plus une connaissance des outils de gestion de version git serait très appréciée capacité à apprendre de nouvelles technologies et à vous adapter à des environnements en constante évolution sera un atout majeur
1210,qualité,résolution de problèmes aisance relationnelle rigueur écoute,skills et qualifications  vous maitrisez   procédures de sécurité dhygiène et denvironnement  modes opératoires du processus de fabrication des faisceaux électriques  machines et outillages des faisceaux électriques  fonction fonctionnement raccordement test  technique de fabrication des faisceaux  matériaux et composants de faisceaux électriques fils gaines connecteurs  normes qualité produit vous êtes dotés dune   capacité de résolution de problèmes  laisance relationnelle lesprit danalyse la rigueur lécoute la compréhension des autres la maîtrise de soi et la gestion des situations de crise sont des qualités requises pour ce poste
1211,français anglais power bi,autonomie organisation,expérience en gestionnaire l requis  expérience souhaitable dans le secteur des analyses environnementales  capacité à communiquer en français et en anglais à lécrit comme à loral  compétences informatiques ms office logiciel erp power bi compétences requises  autonomie agilité et sens de motivation déquipe  capacité à travailler efficacement en mode multitâches  management déquipe efficience  capacité dorganisation et de gestion et du temps  maitrise des diverses techniques de prélèvement et déchantillonnage ehs   savoir traduire les orientations déclinées par le responsable du business en actions  être ouvert au changement et prêt à acquérir de nouvelles compétences  capacité à communiquer clairement et efficacement oralement et par écrit  connaître lenvironnement institutionnel et juridique de lactivité
1212,tableau power bi kpi scala,communication leadership communication organisation orientation client innovation leadership,maîtrise technologique  connaissance approfondie des systèmes de téléphonie avaya dimelo odigo et des outils bi tableau power bi looker expertise en gestion de projets de la définition des besoins à la mise en uvre avec une communication des résultats efficace leadership expérience en management déquipe particulièrement avec les équipes idp et rptr et aptitude à résoudre des problématiques complexes communication  excellente capacité à présenter et traduire les données en informations exploitables pour divers niveaux de lorganisation analyser les écarts de performance alerter sur les écarts présenter analyses et recommandations aux parties prenantes culture damélioration continue initier des projets transverses et jouer un rôle de référent en pilotage temps réel leadership collaborer avec les rh pour les besoins de formation et compétences
1213,Non spécifié,communication,experience in recruitment or related roles knowledge and expertise proficiency in interview and selection techniques skills expertise in recruitment and selection processes including recruitment assessment tools communication analytical judgment interpersonal skills and a good english level
1214,Non spécifié,communication,communication skills ability to identify and resolve issues with inventory discrepancies
1215,Non spécifié,Non spécifié,experience in the chemical industry
1216,contrôle de gestion comptabilité analyse financière,organisation,maîtrisez les techniques de contrôle de gestion de la comptabilité générale analytique analyse financière analyse de critique dorganisation et dadaptation
1217,qualité,synthèse organisation rigueur proactivité initiative relationnel,maîtrise des outils bureautiques et des logiciels de gestion rhpaie est attendue compétences techniques les qualités suivantes sont essentielles pour réussir dans ce poste  excellentes capacités danalyse et de synthèse compétences en gestion de projet et organisationnelles capacité à travailler en équipe et à communiquer efficacement proactivité et capacité à prendre des initiatives
1218,java qualité angular anglais,communication résolution de problèmes créativité organisation,java compétences et les qualités dans le développement informatique le management et la gestion de projet  vous avez une expérience avérée en tant que développeur javaangular et en tant que leader technique  vous maitrisez parfaitement 1 ou plusieurs langages du monde java et vous montrez un intérêt et une expertise particulière pour larchitecture applicative  vous êtes curieux sur plusieurs champs dapplication de linformatique  webfront mobile apps backend api full stack etc  vous êtes capable de comprendre les possibilités techniques qui sont à disposition et de pouvoir les exprimer dans le produit pour loptimiser en termes de coût deffortsetc  vous avez dexcellentes compétences en communication et en résolution de problèmes  vous avez la capacité à travailler efficacement dans un environnement collaboratif et à dispatcher les tâches de manière stratégique  vous avez une compréhension approfondie des principes de conception logicielle de larchitecture des applications et des bonnes pratiques de développement  vous avez une bonne connaissance des outils et des méthodologies de développement agiles  vous avez une bonne maîtrise de langlais aussi bien à lécrit qu à loral
1219,java spring boot angular typescript cicd anglais sem,relationnel écoute,java spring boot angular typescript maîtrise des outils dintégration cicd et du travail en mode agile  un excellent relationnel tu aimes travailler en équipe  un sens prononcé du service et engagé dans tes activités  savoir communiquer et écouter en toutes circonstances et écrire sans fautes  vous maîtrisez la langue anglaise parfaitement  informations complémentaires  poste basé au maroc dans nos locaux de rabat etou casablanca et ouvert uniquement en cdi  poste hybride avec possibilité de télétravail  en rejoignant devoteam vous aurez la possibilité déchanger avec vos pairs de partager leur expérience et de développer vos compétences en rejoignant la communauté creative tech rassemblant les consultants des 18 pays du groupe
