id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail
1269,charg de process et qualit management benguerir maroc,https://www.rekrute.com/,2024-11-27,um6p  université mohammed vi polytechnique,raison detre ou mission generale du poste dans le cadre de pilotage des processus de formations associés aux programmes superviser les dispositions qualité mises en place et assurer la gestion de larsenal documentaire en lien avec les procédures des,1 postes sur marrakech et région  maroc,benguerir,secteur dactivité  enseignement  formation,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,poste  raison detre ou mission generale du poste dans le cadre de pilotage des processus de formations associés aux programmes superviser les dispositions qualité mises en place et assurer la gestion de larsenal documentaire en lien avec les procédures des normes qualité missions et responsabilites gestion de système qualité finalité  assurer la supervision de la mise en uvre des process et procédures qualité de dispositif de formation selon dispositions définies a cet effet il doit  participer à la rédaction des process et procédures qualité de système de formation veiller à la mise en uvre des procédures superviser lorganisation des audits qualité assurer la bonne application de la démarche qualité au niveau du cfmdv participer à la mesure de lefficacité des formations délivrées et ce en concertation avec les responsables des filières de formation contribuer à lamélioration continue des processus et outils de la formation participer au développement de lanalyse des pratiques du corps formateurs assurer le classement et le suivi des dossier qualité consolide les tableaux de bord de système de management de la qualité participer à lévaluation de lefficacité des processus qualité promouvoir limage de marque qualité auprès des clients internes et externes 3 indicateurs de performance maîtrise documentaire de système qualité efficacité des processus et procédures certification de système qualité,qualité supervision audit sem tableau coordination qualité,organisation communication rigueur synthèse qualités relationnelles innovation,organisation des audits qualité assurer la bonne application de la démarche qualité au niveau du cfmdv participer à la mesure de lefficacité des formations délivrées et ce en concertation avec les responsables des filières de formation contribuer à lamélioration continue des processus et outils de la formation analyse des pratiques du corps formateurs assurer le classement et le suivi des dossier qualité consolide les tableaux de bord de système de management de la qualité participer à lévaluation de lefficacité des processus qualité promouvoir limage de marque qualité auprès des clients internes et externes 3 indicateurs de performance maîtrise documentaire de système qualité efficacité des processus et procédures certification de système qualité compétences métiers  techniques formation supérieure bac  5  scientifique ou technique  management ou économie connaissance des systèmes de mangement de la qualité iso compétences managériales et comportementales capacité de communication et de coordination capacité à coopérer avec des équipes multidisciplinaires rigueur et sens de lorganisation qualités danalyse et de synthèse qualités relationnelles sens de la communication intérêt pour linnovation,français courant,Non spécifié,0
1270,responsable comptoir hf ttouan maroc,https://www.rekrute.com/,2024-11-27,locamed,dans le cadre de notre prochaine ouverture de magasin à tétouan nous recherchons un responsable comptoir hf missions principales  en tant que responsable comptoir chez locamed vous aurez pour missions de  accueil et conseil,1 postes sur tanger et région  maroc,tétouan,secteur dactivité  matériel médical  pharmacie  santé,Non spécifié,cdi,bac 3 minimum  ecole de commerce  formation professionnelle poste avec management,3-5 ans,profil recherché  expérience de 5 ans dans un poste similaire idéalement dans le domaine du service client ou de la vente au comptoir bonnes compétences en communication et en relation client sens de lorganisation et capacité à gérer les priorités autonomie proactivité et esprit déquipe maîtrise des outils informatiques de base excel erp logiciel de gestion de caisse,non spécifié,communication organisation autonomie proactivité esprit déquipe,compétences en communication et en relation client organisation et capacité à gérer les priorités autonomie proactivité et esprit déquipe maîtrise des outils informatiques de base excel erp logiciel de gestion de caisse,français courant,Non spécifié,0
1271,responsable stratgie etudes et pmo rabat maroc,https://www.rekrute.com/,2024-11-27,fondation arrawaj,principales responsabilités   élaboration et mise en uvre de la stratégie  participer à lélaboration et à la mise en uvre de la stratégie globale en collaboration avec,1 postes sur rabat et région  maroc,rabat,secteur dactivité  banque  finance,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur,3-5 ans,profil recherché  education level  major  bac5 ou plus experience  3 à 4 ans dexpérience professionnelle dans un cabinet de conseil en stratégie ou dans une direction stratégie dans une grande banque une expérience à linternational serait un plus foreign language skills  français et anglais computer skills  ppt excel sharepoint power automate word vocational education  certificate  grandes écoles de commerce ou dingénieur certification  pmp lean six sigma ou équivalent,banque français anglais power automate word lean six sigma,Non spécifié,skills  français et anglais computer skills  ppt excel sharepoint power automate word vocational education  certificate  grandes écoles de commerce ou dingénieur certification  pmp lean six sigma ou équivalent,anglais courant français courant,Non spécifié,0
1272,contrleur de gestion casablanca maroc,https://www.rekrute.com/,2024-11-27,manpower agences,manpower recrute pour son client qui opère dans le secteur industriel un contrôleur de gestion en contrat dintérim sur casablanca vos missions principales  participation à lélaboration des,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  comptabilité  audit,Non spécifié,autre,bac 5 et plus minimum  ecole de commerce poste avec management,3-5 ans,profil recherché  bac5 en contrôle de gestion finance ou équivalent avec une expérience significative dans un poste similaire  maîtrise des outils sap et power bi indispensable  excellente communication en français,contrôle de gestion sap power bi français,communication,maîtrise des outils sap et power bi indispensable  excellente communication en français,français courant,Non spécifié,0
1273,charge dappel doffre pour les marchs publics tanger maroc,https://www.rekrute.com/,2024-11-27,manpower agences,manpower recherche pour le compte de son client une chargée de préparation des dossiers de soumission aux marchés publics en contrat cdi le poste est basé à tanger et sadresse à des candidats ayant une,1 postes sur casablanca et région  maroc,tanger,secteur dactivité  autres services,Non spécifié,cdi,bac 3 minimum  autre,3-5 ans,profil recherché  profil recherché  bonne connaissance des procédures de marchés publics et de la réglementation marocaine compétences en rédaction et organisation aptitude à respecter les délais et à gérer plusieurs priorités informations complémentaires  contrat  cdi localisation  tanger rémunération  7000 dh net négociable selon expérience,non spécifié,organisation,connaissance des procédures de marchés publics et de la réglementation marocaine compétences en rédaction et organisation,français courant,Non spécifié,0
1274,agent dhospitalit rabat et priphrie maroc,https://www.rekrute.com/,2024-11-27,stay here,dans le cadre de développement de ses activités stayhere est à la recherche dun agent dhospitalité hf sur casablanca pour effectuer les tâches suivantes  gérer le stock assurer laccueil,5 postes sur rabat et région  maroc,rabat et périphérie,secteur dactivité  hôtellerie  restauration  tourisme  voyage  loisirs,Non spécifié,cdi,bac 3 minimum poste avec management,3-5 ans,profil recherché  diplôme détudes secondaires ou équivalent un diplôme en gestion hôtelière ou équivalent excellentes compétences en communication et en relations interpersonnelles sens du service client et de lorientation client capacité à gérer les situations stressantes et à résoudre les problèmes rapidement connaissance des logiciels de gestion hôtelière est un atout disponibilité à travailler en horaires variables y compris les weekends et les jours fériés,non spécifié,communication orientation client,compétences en communication et en relations interpersonnelles capacité à gérer les situations stressantes et à résoudre les problèmes rapidement connaissance des logiciels de gestion hôtelière est un atout,français courant,Non spécifié,0
1275,tech lead net ou javascript casablanca maroc,https://www.rekrute.com/,2024-11-27,aba technology,participer à la transformation digitale complète dentreprises de renommée nationale et internationale  être le garant du choix technique du développement de chaque fonctionnalité,2 postes sur casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus minimum  master  ecole dingénieur poste avec management,10 ans ou plus,profil recherché  formation et parcours  avoir une expérience probante de plus de 5 ans de préférence dans une société de développement sur mesure selon la méthodologie scrum  avoir un diplôme de bac5 en génie informatique génie logiciel ou dans une discipline connexe hard skills  très bonne maîtrise des technologies comme net nodejs expressjs typescript nestjs reactjs nextjs etc  une connaissance des systèmes de gestion de base de données  mysql postgresql mongodb  maîtrise de la conception et modélisation dun système dinformation  merise uml  avoir une culture devops  connaissances en management de projets budgétisation tableaux de bord planificationetc soft skills   esprit déquipe et leadership   des compétences en communication avec un sens relationnel   avoir une véritable motivation pour relever des vrais défis et sinvestir sur le long terme  rigueur ponctualité et professionnalisme  très bonne gestion du stress  etre capable dendosser un rôle dexpert pour inspirer confiance à son équipe  avoir un esprit intellectuellement critique de manière humble et factuelle  avoir une certaine sensibilité par rapport à limpact des nouvelles technologies sur les conceptions épistémiques en rapport avec les différents secteurs dactivité comme le domaine médical la supply chain lindustrieetc,typescript nestjs react mysql postgresql mongodb tableau planification supply chain,leadership communication relationnel rigueur gestion du stress,scrum skills  très bonne maîtrise des technologies comme typescript react connaissance des systèmes de gestion de base de données  mysql postgresql mongodb  maîtrise de la conception et modélisation dun système dinformation  merise uml  avoir une culture devops  connaissances en management de projets budgétisation tableaux de bord planificationetc soft skills leadership compétences en communication avec un sens relationnel   avoir une véritable motivation pour relever des vrais défis et sinvestir sur le long terme  rigueur ponctualité et professionnalisme  très bonne gestion du stress  etre capable dendosser un rôle dexpert pour inspirer confiance à son équipe  avoir un esprit intellectuellement critique de manière humble et factuelle  avoir une certaine sensibilité par rapport à limpact des nouvelles technologies sur les conceptions épistémiques en rapport avec les différents secteurs dactivité comme le domaine médical la supply chain lindustrieetc,français courant,Non spécifié,0
1276,contrleur de gestion rabat maroc,https://www.rekrute.com/,2024-11-27,cdg  developpement,rattachée au directeur administratif et financier lee candidate aura pour principale mission de mettre à la disposition de sa direction et de sa hiérarchie des données fiables nécessaires pour la prise de,1 postes sur rabat et région  maroc,rabat,secteur dactivité  banque  finance  comptabilité  audit,Non spécifié,cdi,bac 5 et plus minimum  master  ecole de commerce,3-5 ans,profil recherché  formation de niveau bac 5 dune grande école de commerce dingénieur ou équivalent avec une spécialité en financecontrôle de gestion   une première expérience dans une activité comptable ou financière est requise   une première expérience en contrôle de gestion est nécessaire   une expérience en comptabilité analytique un minimum de 3 ans dexpérience en contrôle de gestion   maîtrise des outils bureautiques excel word et powerpoint   une connaissance en traitement de séries statistiques et en bases de données sql notamment serait souhaitable   maîtrise des outils si pour lanalyse des données excel access etc   sens de lanalyse et esprit de synthèse   grande rigueur dans la qualité et les délais des livrables   excellentes capacités relationnelles et rédactionnelles   autonomie et bon sens de lorganisation   réactivité et créativité dans les solutions proposées,contrôle de gestion contrôle de gestion comptabilité contrôle de gestion word powerpoint bases de données access qualité,synthèse rigueur relationnel autonomie organisation créativité,expérience en contrôle de gestion est nécessaire   une expérience en comptabilité analytique expérience en contrôle de gestion   maîtrise des outils bureautiques excel word et powerpoint   une connaissance en traitement de séries statistiques et en bases de données sql notamment serait souhaitable   maîtrise des outils si pour lanalyse des données excel access etc analyse et esprit de synthèse   grande rigueur dans la qualité et les délais des livrables   excellentes capacités relationnelles et rédactionnelles   autonomie et bon sens de lorganisation   réactivité et créativité dans les solutions proposées,français courant,Non spécifié,0
1277,dlgus rgionaux maroc,https://www.rekrute.com/,2024-11-27,non spécifié,rattachés à la direction générale vos principales missions sont les suivantes  animer le réseau des dépositaires gpl de votre région  assurer le développement du réseau,3 postes sur tout le maroc  maroc,,secteur dactivité  distribution,Non spécifié,cdi,bac 5 et plus minimum  ecole de commerce poste avec management,3-5 ans,profil recherché  diplômé dune grande ecole de commerce ou dingénieur vous évoluez dans la fonction commerciale et capitalisez une expérience de 3 ans minimum dans la gestion et lanimation dun réseau de distribution,non spécifié,travail en équipe flexibilité organisation,Non spécifié,français courant,Non spécifié,0
1278,ingnieur electromcanicien maroc,https://www.rekrute.com/,2024-11-27,non spécifié,vos responsabilités sont les suivantes  suivre la maintenance des stations de service et des clients industriels  négocier avec les fournisseurs et les soustraitants les différentes prestations  suivre et,1 postes sur tout le maroc  maroc,,secteur dactivité  electromécanique  mécanique,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur poste avec management,3-5 ans,profil recherché  lauréat dune grande ecole dingénieur en génie industriel electromécanique ou electrotechnique ou équivalent vous justifiez dune expérience significative dans la maintenance des équipements industriels et la gestion des projets homme de terrain votre rigueur votre sens de lorganisation et votre esprit déquipe sont des qualités qui vous permettront de réussir à ce poste,electrotechnique qualité,rigueur organisation travail en équipe flexibilité organisation,rigueur votre sens de lorganisation et votre esprit déquipe sont des qualités qui vous permettront de réussir à ce poste,français courant,Non spécifié,0
1279,cadre juriste hf maroc,https://www.rekrute.com/,2024-11-27,non spécifié,rattaché à la direction générale et en étroite collaboration avec les services opérationnels vous assurerez les missions principales suivantes   lanalyse des documents contractuels et des risques y,1 postes sur tout le maroc  maroc,,secteur dactivité  distribution  juridique  cabinet davocats,Non spécifié,cdi,bac 5 et plus minimum  master,3-5 ans,profil recherché  de formation bac5 en droit des affaires vous justifiez dune expérience de 3 ans minimum dans un poste de cadre juriste  vous maitrisez loutil bureautique,droit des affaires,travail en équipe flexibilité organisation,Non spécifié,français courant,Non spécifié,0
1280,chef de projets industrialisation casablanca maroc,https://www.rekrute.com/,2024-11-27,domino hr morocco,nous recrutons pour lun de nos clients une multinationale opérant dans le secteur industriel notamment la fabrication des pièces mécanosoudée un chef de projets industrialisation qui va piloter lindustrialisation,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  métallurgie  sidérurgie,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur poste avec management,3-5 ans,profil recherché   ingénieur détait en génie industriellemécanique  expérience de 3 à 5 ans dans un poste similaire  bon niveau en anglais,anglais,Non spécifié,Non spécifié,anglais courant,Non spécifié,0
1281,administrateur it casablanca maroc,https://www.rekrute.com/,2024-11-27,wbc,en tant quadministrateur it vous intégrez une entreprise dynamique du secteur de la communication  publicité  votre mission principale sera dassurer la disponibilité la performance et la sécurité de,casablanca et région  maroc,casablanca,secteur dactivité  agence pub  marketing direct  enseignement  formation,Non spécifié,cdi,bac 3 minimum  bts  dut,3-5 ans,profil recherché  vous êtes un spécialiste de linformatique orienté réseau et systèmes et vous avez une expérience de 2 à 4 ans dans ladministration it vous êtes un talent ayant les compétences techniques suivantes  maîtrise des systèmes dexploitation windows linux  connaissance des réseaux informatiques tcpip routage switching  expérience en administration de serveurs  capacités de résolution de problèmes et danalyse  bonnes compétences en communication et travail en équipe,linux tcpip,résolution de problèmes communication travail en équipe,compétences techniques suivantes  maîtrise des systèmes dexploitation windows linux connaissance des réseaux informatiques tcpip routage switching expérience en administration de serveurs compétences en communication et travail en équipe,français courant,Non spécifié,0
1282,ingnieur maintenance tanger maroc,https://www.rekrute.com/,2024-11-27,non spécifié,en tant que ingénieur de maintenance  vous aurez comme mission  1 support à la gestion de la maintenance  regrouper et communiquer les demandes dinterventions élaborer par les,1 postes sur tanger et région  maroc,tanger,secteur dactivité  electromécanique  mécanique  papier  carton,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur poste avec management,3-5 ans,profil recherché  qualifications requises  diplôme dingénieur en maintenance electromécanique automatisme trois ans dexpérience dans un poste similaire dans une entreprise multinationale  maîtrise de la langue française anglaise et des outils informatiques  rigueur sens de lorganisation sens relationnel  disponibilité et réactivité  travail en équipe  passion pour la performance,français anglais,rigueur organisation relationnel travail en équipe organisation,maîtrise de la langue française anglaise et des outils informatiques  rigueur sens de lorganisation sens relationnel  disponibilité et réactivité  travail en équipe  passion pour la performance organisation besoin dobjectivité ténacité rationalisme respect des règles,anglais courant français courant,Non spécifié,0
1283,research assistants in extraction and purification technologies cdd of 1 year benguerir maroc,https://www.rekrute.com/,2024-11-26,um6p  université mohammed vi polytechnique,each candidate should be able to respond to at least one of these research areas conduct experiments to evaluate different production techniques and their effectiveness analyze and characterize phosphorus samples using analytical methods such as,1 postes sur marrakech et région  maroc,benguerir,secteur dactivité  enseignement  formation,Non spécifié,cdd,bac 5 et plus minimum,3-5 ans,poste  each candidate should be able to respond to at least one of these research areas conduct experiments to evaluate different production techniques and their effectiveness analyze and characterize phosphorus samples using analytical methods such as spectroscopy chromatography and mass spectrometry investigate the scalability of acid production processes and the valorization of highvalue elements properly assess the heat and mass balances prior to conducting a thorough technoeconomic and environmental impact assessment of targeted processes,scala perl supervision,Non spécifié,Non spécifié,français courant,Non spécifié,0
1284,scientist in material design for co2 capture and storage benguerir maroc,https://www.rekrute.com/,2024-11-26,um6p  université mohammed vi polytechnique,about msn departmentthe materials science energy and nanoengineering msn is a department at mohammed vi polytechnic university that aims to makes use of innovative research and education in order to promote solution development and entrepreneurship in,1 postes sur marrakech et région  maroc,benguerir,secteur dactivité  enseignement  formation,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,poste  about msn department the materials science energy and nanoengineering msn is a department at mohammed vi polytechnic university that aims to makes use of innovative research and education in order to promote solution development and entrepreneurship in the context of moroccan and african challenges while training the next generation top scientists innovators and entrepreneurs msns research is structured into three distinct clusters energy transition smart and functional materials and circular materials with a research community comprising a minimum of 100 researchers and phd students alongside numerous national and international partnerships msn has positioned itself as a robust and emerging force in the moroccan materials research landscape the department is actively engaged in coordinating both initial and executive master programs demonstrating a commitment to advancing education and fostering expertise in the field located in the municipality of ben guerir in the very heart of the green city mohammed vi polytechnic university aspires to leave its mark nationally continentally and globally position announcement job title scientist in material design for co2 capture and storage area of specialization material science and technologies place um6p  msn department address lot 660 hay moulay rachid ben guerir 43150 job summary the materials science energy and nanoengineering msn department is looking for a motivated candidate to develop novel and sustainable synthesis roots to manufacture materials for carbon capture and storage the successful candidate will also be expected to teach train and supervise engineers and students,supervision,communication,force in the moroccan materials research landscape expertise in the field communication and teamwork skills to collaborate within a multidisciplinary environment problemsolving skills and ability to adapt to evolving project needs experience in cosupervision and teaching of graduate master andor ph ability to work with other researchers in an interdisciplinary and multidisciplinary setting and lead an innovative trait development program communication skills in both english and french,english courant french courant,Non spécifié,0
1285,research assistant developing sustainable adsorption solutions for environmental remediation benguerir maroc,https://www.rekrute.com/,2024-11-26,um6p  université mohammed vi polytechnique,description of the offerwe are looking for a motivated research assistant with expertise in material science chemical engineering or environmental chemistry to contribute to our ongoing research on bioderived materials for in batch and continuous adsorption,1 postes sur marrakech et région  maroc,benguerir,secteur dactivité  enseignement  formation,Non spécifié,cdd,bac 5 et plus minimum,3-5 ans,poste  description of the offer we are looking for a motivated research assistant with expertise in material science chemical engineering or environmental chemistry to contribute to our ongoing research on bioderived materials for in batch and continuous adsorption systems this position offers an exciting opportunity to work on developing sustainable hybrid biobased porous materials incorporating biomass and biopolymers for environmental remediation and sustainable applications join our team to explore innovative materials designed for the adsorption of contaminants aimed at enhancing environmental performance and addressing pressing water scarcity challenges,non spécifié,Non spécifié,expertise in material science chemical engineering or environmental chemistry to contribute to our ongoing research on bioderived materials for in batch and continuous adsorption systems,français courant,Non spécifié,0
1286,dposez votre candidaturespontane casablanca maroc,https://www.rekrute.com/,2024-11-26,rekrute,voici les différentes fonctions qui agissent en synergie pour consolider et développer notre entreprise  commercial  véritable responsable de comptes vous élargissez notre couverture au maroc et à,casablanca et région  maroc,casablanca,secteur dactivité  indifférent,Non spécifié,cdi,bac 3 minimum  master  ecole de commerce,0-1 ans,profil recherché  grandes écoles de commerce ou dingénieurs universitaires expérimentés ou découvrant le monde du travail plus que votre formation et votre expérience cest votre individualité et votre originalité qui constituent pour nous une réelle valeur ajoutée votre énergie votre passion du métier votre enthousiasme votre capacité à vous adapter votre goût du travail en équipe sont autant datouts qui favoriseront votre intégration rapide et votre réussite certaine parmi nous responsabilités valorisantes méthodes et outils innovants management à lécoute nous vous offrons les moyens de réaliser vos ambitions et de vous épanouir dans un cadre de travail stimulant,non spécifié,travail en équipe responsabilité écoute,capacité à vous adapter votre goût du travail en équipe sont autant datouts qui favoriseront votre intégration rapide et votre réussite certaine parmi nous écoute nous vous offrons les moyens de réaliser vos ambitions et de vous épanouir dans un cadre de travail stimulant,français courant,Non spécifié,0
1287,infirmire soin intensif casablanca maroc,https://www.rekrute.com/,2024-11-26,non spécifié,rejoignez notre équipe dynamique dans le secteur de la santé à casablanca  nous recherchons une infirmière en soins intensifs passionnée et dévouée pour contribuer à la qualité des soins,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  pharmacie  santé,Non spécifié,cdi,bac 3 minimum  formation spécialisée,3-5 ans,profil recherché  nous recherchons un profil rigoureux avec un niveau déducation bac 3 minimum dans un domaine médical  paramédical une formation complémentaire en soins intensifs serait un atout considérable votre formation vous a doté dune solide base théorique et pratique des soins infirmiers ainsi quune parfaite maîtrise des protocoles médicaux et des normes dhygiène une expérience professionnelle de 1 à 3 ans dans un service de soins intensifs est souhaitée votre expérience vous a permis de développer un sens aigu de lobservation et de la réactivité face aux situations critiques une expérience en soins intensifs adultes ou en réanimation est un plus vous êtes une personne organisée rigoureuse et dotée dune grande capacité dadaptation voici quelquesunes des compétences essentielles pour ce poste  maîtrise des techniques de soins infirmiers en soins intensifs excellentes capacités de communication et de travail en équipe sens aigu de lobservation et réactivité gestion du stress et aptitude à prendre des décisions rapides et efficaces connaissance approfondie des protocoles médicaux et des normes dhygiène rigueur et sens de lorganisation une excellente maîtrise du français est requise un niveau danglais serait un plus,soins infirmiers français anglais,communication travail en équipe gestion du stress rigueur organisation,maîtrise des protocoles médicaux et des normes dhygiène expérience en soins intensifs adultes ou en réanimation est un plus compétences essentielles pour ce poste  maîtrise des techniques de soins infirmiers en soins intensifs excellentes capacités de communication et de travail en équipe sens aigu de lobservation et réactivité gestion du stress et aptitude à prendre des décisions rapides et efficaces connaissance approfondie des protocoles médicaux et des normes dhygiène rigueur et sens de lorganisation une excellente maîtrise du français est requise,français courant anglais courant,Non spécifié,0
1288,responsable comptoir hf rabat maroc,https://www.rekrute.com/,2024-11-26,locamed,dans le cadre de notre développement nous recherchons un responsable comptoir rabat pour renforcer notre équipe et assurer une expérience client exceptionnelle missions principales  en tant que responsable comptoir chez locamed,2 postes sur rabat et région  maroc,rabat,secteur dactivité  matériel médical  autres services,Non spécifié,cdi,bac 3 minimum poste avec management,3-5 ans,profil recherché  expérience de 5 ans dans un poste similaire idéalement dans le domaine du service client ou de la vente au comptoir bonnes compétences en communication et en relation client sens de lorganisation et capacité à gérer les priorités autonomie proactivité et esprit déquipe maîtrise des outils informatiques de base excel erp logiciel de gestion de caisse,non spécifié,communication organisation autonomie proactivité esprit déquipe,compétences en communication et en relation client organisation et capacité à gérer les priorités autonomie proactivité et esprit déquipe maîtrise des outils informatiques de base excel erp logiciel de gestion de caisse,français courant,Non spécifié,0
1289,charg daffaires grandes entreprises casablanca maroc,https://www.rekrute.com/,2024-11-26,attijariwafa bank,rattachée à la banque de financement et dinvestissement groupe vous ferez partie de lentité grandes entreprises en tant que chargée daffaires a ce titre vous serez amené à,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  banque  finance,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  de formation bac 5 en finance commerce et gestion grandes ecoles de commerce ou dingénieurs vous justifiez dune expérience de 3 ans minimum dans un poste similaire vous avez une aisance relationnelle et une fibre commerciale développée vous avez la capacité deffectuer les analyses poussées des risques vous savez faire preuve de force dargumentation et de persuasion vous maitrisez le volet juridique,non spécifié,aisance relationnelle,aisance relationnelle et une fibre commerciale développée analyses poussées des risques force dargumentation et de persuasion,français courant,Non spécifié,0
1290,project officer financement de projets casablanca maroc,https://www.rekrute.com/,2024-11-26,attijariwafa bank,rattachée à la banque de financement et dinvestissement groupe vous ferez partie de lentité financement de projets  project finance en tant que project officer a ce titre vous serez amené à,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  banque  finance,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  de formation bac 5 en finance etou gestion de projets grandes ecoles de commerce ou dingénieurs vous justifiez dune expérience de 3 ans minimum dans un poste similaire vous avez une aisance relationnelle et une fibre commerciale développée vous avez la capacité deffectuer les analyses poussées des risques inhérents aux projets à financer en vue de leur mitigation structuration des financements vous savez faire preuve de face dargumentation et de persuasion vous maitrisez le volet juridique vous devez impérativement avoir un bon niveau danglais,anglais,aisance relationnelle,aisance relationnelle et une fibre commerciale développée analyses poussées des risques inhérents aux projets à financer en vue de leur mitigation structuration des financements,anglais courant,Non spécifié,0
1291,stagiaire chef de projet digital learning fh casablanca maroc,https://www.rekrute.com/,2024-11-26,hp search,teamwork consulting cabinet spécialisé en formation inter et intra entreprises recrute une stagiaire en digital learning avec possibilité de préembauche missions  conception de contenus elearning  création,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  agence pub  marketing direct  indifférent,Non spécifié,stage,bac 5 et plus minimum,0-1 ans,profil recherché  profil  bac3 à bac5 en digital formation ou multimédia  créativité rigueur et maîtrise des outils de création elearning articulate moodle etc  intérêt pour linnovation pédagogique et les nouvelles technologies,non spécifié,créativité rigueur innovation,rigueur et maîtrise des outils de création elearning articulate moodle etc,français courant,Non spécifié,0
1292,conseiller entreprises senior centre daffaires casablanca maroc,https://www.rekrute.com/,2024-11-26,attijariwafa bank,dans le cadre de notre développement nous recherchons une conseiller entreprises senior en centre daffaires qui aura pour mission principale pour gérer et développer un portefeuille de clientèle dentreprises tout en,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  banque  finance,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  de formation bac5 ecole de commerce ou université vous justifiez dune expérience de 3 à 5 ans dans dans une fonction similaire en sus de votre sens commercial et aisance relationnelle vous êtes orienté résultat et vous avez une parfaite maîtrise de la gestion des produits  services aux entreprises et la gestion des opérations financières et commerciales,gestion des opérations,aisance relationnelle,aisance relationnelle vous êtes orienté résultat et vous avez une parfaite maîtrise de la gestion des produits  services aux entreprises et la gestion des opérations financières et commerciales,français courant,Non spécifié,0
1293,ingnieur en gnie industriel rabat maroc,https://www.rekrute.com/,2024-11-26,maymana,mission entant que chargé de production gérer la production en terme de planification et dorganisation conformément aux procédures internes en la matière principales fonctions 1 suivre et organiser la,1 postes sur rabat et région  maroc,rabat,secteur dactivité  agroalimentaire  autres industries,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur,3-5 ans,profil recherché  formation et expérience bac5 ingénieur en industrie agroalimentaire ou en génie des procédés industriels avec une expérience probante de 3 ans à 5 ans dans un poste similaire  compétences maitrise de la gestion de la production  planification  processus de production  organisation de travail  contrôle  maitrise des modes de conservation des produits alimentaires et le conditionnement des aliments  maitrise des règles dhygiène et de sécurité alimentaire  maitrise de la gestion de stock maitrise des pratiques du lean de management appréciation gustative  maitrise de la langue française  qualitéshabiletés professionnelles esprit de responsabilité et dengagement  autonome et organisé e sens de lécoute résistance au stress,planification français qualité,organisation responsabilité écoute,compétences maitrise de la gestion de la production  planification  processus de production  organisation de travail  contrôle,français courant,Non spécifié,0
1294,charge de clientle centre dappel casablanca maroc,https://www.rekrute.com/,2024-11-26,manpower agences,en tant que chargée de clientèle vos missions seront préparation et planification des rendezvous  supervision et géolocalisation des techniciens  traitement des échecs et reprise de rendezvous clients,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  centre dappel  offshoring  nearshoring,Non spécifié,cdi,bac minimum  université,1-3 ans,profil recherché  savoir et savoirfaire  très bonne maîtrise dexcel croisement de données tableaux de bord maîtrises des formules  excellent niveau de communication orale et écrite  bonne élocution  bonne maîtrise de la relation clients  utilisation courante des outils informatiques pack office  messagerie outlook aptitude à appréhender aisément un nouveau logiciel savoirêtre  qualités relationnelles  sens du contact et du service  capacités découte diplomatie patience  egalité dhumeur  capacité à rester aimable et souriante en toute circonstance  tempérament réactif et enthousiaste,sem tableau sage outlook qualité,communication qualités relationnelles écoute diplomatie patience,maîtrise dexcel croisement de données tableaux de bord maîtrises des formules  excellent niveau de communication orale et écrite  bonne élocution  bonne maîtrise de la relation clients  utilisation courante des outils informatiques pack office  messagerie outlook aptitude à appréhender aisément un nouveau logiciel écoute diplomatie patience  egalité dhumeur  capacité à rester aimable et souriante en toute circonstance  tempérament réactif et enthousiaste,français courant,Non spécifié,0
